Type                                  Module                      Label             Process   
vector<double>                        "ak7BasicJets"              "sigmas"          "HLT"     
vector<double>                        "ak7CaloJets"               "sigmas"          "HLT"     
vector<double>                        "ak7GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak7PFJets"                 "sigmas"          "HLT"     
vector<double>                        "kt4CaloJets"               "sigmas"          "HLT"     
vector<double>                        "kt4GenJets"                "sigmas"          "HLT"     
vector<double>                        "kt4PFJets"                 "sigmas"          "HLT"     
vector<double>                        "kt6CaloJets"               "sigmas"          "HLT"     
vector<double>                        "kt6GenJets"                "sigmas"          "HLT"     
vector<double>                        "kt6PFJets"                 "sigmas"          "HLT"     
vector<edm::ErrorSummaryEntry>        "logErrorHarvester"         ""                "HLT"     
vector<int>                           "genParticles"              ""                "HLT"     
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "HLT"     
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "HLT"     
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "HLT"     
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "HLT"     
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "HLT"     
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "HLT"     
vector<reco::BasicJet>                "ak7BasicJets"              ""                "HLT"     
vector<reco::CaloCluster>             "hfEMClusters"              ""                "HLT"     
vector<reco::CaloCluster>             "hybridSuperClusters"       "hybridBarrelBasicClusters"   "HLT"     
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "multi5x5EndcapBasicClusters"   "HLT"     
vector<reco::CaloCluster>             "pfElectronTranslator"      "pf"              "HLT"     
vector<reco::CaloCluster>             "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::CaloCluster>             "hybridSuperClusters"       "uncleanOnlyHybridBarrelBasicClusters"   "HLT"     
vector<reco::CaloJet>                 "ak5CaloJets"               ""                "HLT"     
vector<reco::CaloJet>                 "ak7CaloJets"               ""                "HLT"     
vector<reco::CaloJet>                 "kt4CaloJets"               ""                "HLT"     
vector<reco::CaloJet>                 "kt6CaloJets"               ""                "HLT"     
vector<reco::CaloMET>                 "corMetGlobalMuons"         ""                "HLT"     
vector<reco::CaloMET>                 "met"                       ""                "HLT"     
vector<reco::CaloMET>                 "metHO"                     ""                "HLT"     
vector<reco::CaloMET>                 "metNoHF"                   ""                "HLT"     
vector<reco::CaloTau>                 "caloRecoTauProducer"       ""                "HLT"     
vector<reco::CaloTauTagInfo>          "caloRecoTauTagInfoProducer"   ""                "HLT"     
vector<reco::CastorTower>             "CastorTowerReco"           ""                "HLT"     
vector<reco::Conversion>              "allConversions"            ""                "HLT"     
vector<reco::Conversion>              "conversions"               ""                "HLT"     
vector<reco::Conversion>              "uncleanedOnlyAllConversions"   ""                "HLT"     
vector<reco::Conversion>              "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::GenJet>                  "ak5GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak7GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "kt4GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "kt6GenJets"                ""                "HLT"     
